part_number,part_name,unit_cost
Bar Tape,Bar Tape,$40.00
Bar Tape - Fitting,Fitting - Bar Tape,$30.00
BFS,Bike Fleet Service,$82.50
Brake - Blead,Brake Bleed Front,$50.00
BS1,Brake Service - Fit and Adjust,$75.00
Build - Kids,Kids Bike Assembly,$85.00
Cable Gear - i,Gear Cable - inner,$20.00
Chain - 11el,X11EL Chain,$110.00
Chain - 11x,X11 Chain,$90.00
Chain - 12x,SRAM 12s Chain,$90.00
Chain - 8x,Chain 8x,$60.00
Chain - 9x,Shimano Chain CN-HG53 9s 116L,$50.00
Chain - Fitting,Chain fitting,$30.00
Chain - Force 12,Force 12s Chain,$100.00
Chainring - RED 36,SRAM RED Chainring 36,$70.00
Chainring - RED 52,SRAM RED Chainring 52,$260.00
Chainring - SRAM 42t,SRAM Chainring 42T,$190.00
CS7s,7s Cassette,$60.00
CS8x,Chain X8,$50.00
CS9s,9s Cassette,$70.00
dbp-f,Disc Brake Pads - Front,$40.00
dbp-r,Disc Brake Pads - Rear,$40.00
dbp-Shimano LA5A,R Shimano Disc Brake Pads L05A,$50.00
Disk Rotor - 160mm,Disk. Brake Rotor - Rear 160mm,$40.00
Disk Rotor - 180mm,Front Rotor 180 mm 6 Bolts,$50.00
EBS,eBike Service,$180.00
Fitting  - Tyre,Tyre Fitting,$20.00
Fitting Tube,Fitting - Tube,$20.00
GBS,General Service,$120.00
GRBS,Group Service 3 +,$120.00
Grip - standard,Grip,$30.00
grip-lock,Grip Lock-On,$40.00
HSB,Head Set Bearing,$10.00
Pulley Wheels,Pulley Wheels,$40.00
QRS-Used,Quick Release skewers - 2nd hand,$10.00
RT,Rim Tape,$10.00
Srv - Headset,Headset Service,$40.00
Srv - Hub,R Hub Service,$40.00
Srv - Kids Bike,Kids Bike Service,$40.00
Tube,Tube - standard,$20.00
Tubless,Tubeless sealant top up F + R (Ultra),$20.00
Tyre - 32c,F R Tyre 32c,$90.00
Tyre - One365 25c,One 365 25c Tyre,$100.00
TYRE 700X32C,TYRE 700 X 32C Marathon Plus,$90.00
Wheel - True,Wheel True,$40.00
